,Frame No,Car Details
161,584,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018379200000012474}"
162,585,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017352500000001214}"
163,586,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01832009999999684}"
164,587,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01715240000000051}"
165,588,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017451499999992848}"
166,589,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01813580000001025}"
167,590,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017262099999996394}"
168,591,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017283300000002555}"
169,592,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01772220000000857}"
170,593,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017993599999996945}"
171,594,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.017836500000001365}"
172,595,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.018415099999998574}"
173,596,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016974999999987972}"
174,597,"{'count': 1, 'Hatchback': 1, 'white': 1, 'time': 0.01759649999999624}"
175,598,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016449299999990785}"
176,599,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.017747799999995095}"
177,600,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.017448099999995748}"
178,601,"{'count': 1, 'Sedan': 1, 'white': 1, 'time': 0.016305399999993142}"
179,651,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016538900000000467}"
180,652,"{'count': 1, 'Sedan': 1, 'red': 1, 'time': 0.016504999999995107}"
181,653,"{'count': 1, 'Sedan': 1, 'black': 1, 'time': 0.016908999999998287}"
